original_index,est_idx,est_end_idx,start,end,context,char_in_sentence,full_word
25,1159691.0,1160388.0,80.211,80.56,Eww this is worse than,27,Love
26,1160390.0,1161531.0,80.561,81.10929712460064,Eww this is worse than Love,35,Letters
27,1162018.0,1162306.0,81.34,81.48,,1,I
28,1162308.0,1163041.0,81.481,81.83929712460063,I,6,hate
29,1163227.0,1163742.0,81.92975399361019,82.19,I hate,13,dinner
30,1163841.0,1164788.0,82.23892332268366,82.7,I hate dinner,21,theater
31,1165626.0,1166352.0,83.11,83.47249201277961,,2,Me
32,1166503.0,1167397.0,83.531,83.96629392971244,Me,6,too
33,1172043.0,1173015.0,86.24482428115022,86.72,,4,Whoa
34,1173015.0,1173849.0,86.72,87.12654952076669,Whoa,10,there
35,1173901.0,1175071.0,87.15210862619797,87.7246325878593,Whoa there,19,Chauncey
36,1178917.0,1180242.0,89.60383386581469,90.25111821086249,,4,Hark
37,1181203.0,1181642.0,90.70287539936102,90.926357827476,Hark,8,the
38,1181858.0,1182548.0,91.03194888178912,91.37779552715652,Hark the,14,brave
39,1182637.0,1183271.0,91.41214057507987,91.71214057507989,Hark the brave,21,Prince
40,1183271.0,1184111.0,91.71214057507989,92.14057507987226,Hark the brave Prince,30,Charming
41,1184111.0,1185838.0,92.14057507987226,92.97603833865816,Hark the brave Prince Charming,42,approacheth
42,1186683.0,1187074.0,93.38019169329074,93.58019169329074,,4,Fear
43,1187100.0,1187565.0,93.6,93.81,Fear,8,not
44,1187567.0,1187954.0,93.811,94.01,Fear not,13,fair
45,1187957.0,1188793.0,94.011,94.42012779552722,Fear not fair,20,maiden
46,1189742.0,1190451.0,94.9,95.22,,1,I
47,1190452.0,1191106.0,95.221,95.55,I,7,shall
48,1191108.0,1191904.0,95.551,95.94,I shall,12,slay
49,1191906.0,1192271.0,95.941,96.12,I shall slay,16,the
50,1192273.0,1193254.0,96.121,96.59805111821088,I shall slay the,24,monster
51,1193322.0,1193744.0,96.631,96.83,I shall slay the monster,29,that
52,1193746.0,1194550.0,96.831,97.24,I shall slay the monster that,36,guards
53,1194552.0,1194873.0,97.241,97.39,I shall slay the monster that guards,40,you
54,1194875.0,1195159.0,97.391,97.53,I shall slay the monster that guards you,44,and
55,1195161.0,1195689.0,97.531,97.78,I shall slay the monster that guards you and,49,then
56,1195692.0,1196267.0,97.781,98.07,I shall slay the monster that guards you and then,54,take
57,1196263.0,1196646.0,98.06780511182107,98.24680511182108,I shall slay the monster that guards you and then take,57,my
58,1196655.0,1197451.0,98.251,98.64945686900954,I shall slay the monster that guards you and then take my,63,place
59,1197488.0,1197860.0,98.66734824281156,98.84,I shall slay the monster that guards you and then take my place,66,as
60,1197863.0,1198867.0,98.841,99.3492971246007,I shall slay the monster that guards you and then take my place as,75,rightful
61,1199233.0,1200173.0,99.51916932907346,99.97958466453672,I shall slay the monster that guards you and then take my place as rightful,80,king
62,1202060.0,1202782.0,100.90095846645367,101.24568690095842,,4,What'd
64,1202815.0,1203285.0,101.26166134185308,101.5,What'd,10,she
65,1203287.0,1204191.0,101.501,101.9426837060702,What'd she,14,say
66,1214273.0,1214599.0,106.85939297124575,107.00939297124576,,3,Hey
67,1214599.0,1215359.0,107.00939297124576,107.3903833865812,Hey,9,Shrek
68,1216327.0,1217049.0,107.8626198083067,108.21501597444076,,2,Go
69,1217049.0,1217514.0,108.21501597444076,108.44281150159723,Go,5,on
70,1217542.0,1218325.0,108.45686900958474,108.83785942492013,Go on,11,Shrek
71,1224390.0,1225991.0,111.8,112.59105431309902,,7,Prepare
72,1226255.0,1227144.0,112.7043130990415,113.13846645367416,Prepare,12,foul
73,1227283.0,1228402.0,113.22253354632583,113.76971246006396,Prepare foul,18,beast
74,1229010.0,1229243.0,114.05,114.18,Prepare foul beast,21,to
75,1229245.0,1230035.0,114.181,114.55,Prepare foul beast to,27,enter
76,1230037.0,1230506.0,114.551,114.79,Prepare foul beast to enter,32,into
77,1230508.0,1230670.0,114.791,114.87,Prepare foul beast to enter into,34,a
78,1230672.0,1231478.0,114.871,115.2724920127796,Prepare foul beast to enter into a,40,world
79,1231493.0,1231716.0,115.2798817891374,115.3788817891374,Prepare foul beast to enter into a world,43,of
80,1231820.0,1233145.0,115.431,116.07,Prepare foul beast to enter into a world of,48,pain
81,1233577.0,1234013.0,116.29,116.51,Prepare foul beast to enter into a world of pain,53,with
82,1234015.0,1234559.0,116.511,116.76,Prepare foul beast to enter into a world of pain with,59,which
83,1234561.0,1234890.0,116.761,116.93,Prepare foul beast to enter into a world of pain with which,63,you
84,1234892.0,1235294.0,116.931,117.12,Prepare foul beast to enter into a world of pain with which you,67,are
85,1235303.0,1236385.0,117.1241948881789,117.65319488817892,Prepare foul beast to enter into a world of pain with which you are,71,not
86,1236381.0,1237831.0,117.651,118.3675079872204,Prepare foul beast to enter into a world of pain with which you are not,80,familiar
87,1237925.0,1238673.0,118.41274760383396,118.77,,5,Happy
88,1238675.0,1239513.0,118.771,119.18,Happy,14,birthday
89,1239515.0,1240060.0,119.181,119.45613418530348,Happy birthday,17,to
90,1240131.0,1241120.0,119.49057507987216,119.97383386581464,Happy birthday to,22,thee
91,1241204.0,1241713.0,120.00638977635782,120.25638977635782,Happy birthday to thee,28,happy
92,1241713.0,1242489.0,120.25638977635782,120.63402555910544,Happy birthday to thee happy,37,birthday
93,1242489.0,1242997.0,120.63402555910544,120.8905750798721,Happy birthday to thee happy birthday,40,to
94,1243076.0,1243682.0,120.9129392971245,121.21837060702852,Happy birthday to thee happy birthday to,45,thee
95,1243759.0,1244065.0,121.25552715654962,121.41290734824288,,2,Do
96,1244087.0,1244548.0,121.42349201277956,121.64,Do,6,you
97,1244550.0,1245571.0,121.641,122.14099041533542,Do you,11,mind
98,1247585.0,1247971.0,123.12460063897764,123.30447284345048,Do you min,12,Do
99,1247971.0,1248672.0,123.30447284345048,123.65575079872208,Do you mind,14,you
100,1248672.0,1249853.0,123.65575079872208,124.24872204472838,Do you mind?,17,mind
101,1250144.0,1252851.0,124.38338658146964,125.69616613418528,,6,Boring
102,1263110.0,1264392.0,130.70926517571883,131.33402555910538,,7,Prepare
103,1264863.0,1266056.0,131.55591054313098,132.1488817891374,Prepare,12,foul
104,1266428.0,1267515.0,132.32907348242813,132.8602236421725,Prepare foul,18,beast
105,1286439.0,1288575.0,142.09757188498412,143.14,,7,Someday
106,1289015.0,1289857.0,143.36332268370614,143.7743450479233,Someday,11,you'll
108,1289984.0,1290407.0,143.82,144.03527156549526,Someday you'll,17,be
109,1290440.0,1291750.0,144.05095846645378,144.7,Someday you'll be,23,sorry
110,1732414.0,1733206.0,177.89137380191684,178.27,,5,Right
111,1735099.0,1735392.0,179.19488817891366,179.33753993610208,,1,I
112,1735392.0,1735976.0,179.33753993610208,179.63226837060682,I,4,can't
114,1735976.0,1736303.0,179.63226837060682,179.78226837060683,I can't,11,let
115,1736303.0,1736693.0,179.78226837060683,179.98226837060682,I can't let,16,this
116,1736693.0,1737601.0,179.98226837060682,180.4260383386578,I can't let this,23,happen
117,1741033.0,1742047.0,182.10223642172525,182.5982428115016,,2,Can't
119,1745913.0,1746483.0,184.4856230031948,184.75607028753964,,1,I
120,1746483.0,1747102.0,184.75607028753964,185.066932907348,I,4,am
121,1747128.0,1747494.0,185.08,185.25,I am,8,the
122,1747503.0,1748666.0,185.2541948881789,185.8231948881789,I am the,17,rightful
123,1748661.0,1749462.0,185.821,186.21,I am the rightful,22,King
124,1749464.0,1749727.0,186.211,186.34,I am the rightful King,25,of
125,1749729.0,1750707.0,186.341,186.82,I am the rightful King of,29,Far
126,1750709.0,1751512.0,186.821,187.23,I am the rightful King of Far,33,Far
127,1751514.0,1752881.0,187.231,187.88207667731635,I am the rightful King of Far Far,38,Away
128,1754045.0,1754193.0,188.45047923322684,188.5301916932908,I am the rightful King of Far Far Away,42,and
129,1754232.0,1754499.0,188.54888178913745,188.68,I am the rightful King of Far Far Away and,44,I
130,1754501.0,1755332.0,188.681,189.07,I am the rightful King of Far Far Away and I,52,promise
131,1755334.0,1755663.0,189.071,189.24,I am the rightful King of Far Far Away and I promise,56,you
132,1755665.0,1756189.0,189.241,189.49,I am the rightful King of Far Far Away and I promise you,61,this
133,1756191.0,1756908.0,189.491,189.85,I am the rightful King of Far Far Away and I promise you this,68,Mother
134,1758453.0,1758778.0,190.61319488817887,190.7631948881789,I am the rightful King of Far Far Away and I promise you this Mother,70,I
135,1758774.0,1759328.0,190.761,191.04,I am the rightful King of Far Far Away and I promise you this Mother I,75,will
136,1759337.0,1760496.0,191.0441948881789,191.5931948881789,I am the rightful King of Far Far Away and I promise you this Mother I will,83,restore
137,1760492.0,1761493.0,191.591,192.08,I am the rightful King of Far Far Away and I promise you this Mother I will restore,91,dignity
138,1761495.0,1761742.0,192.081,192.21,I am the rightful King of Far Far Away and I promise you this Mother I will restore dignity,94,to
139,1761744.0,1762212.0,192.211,192.44,I am the rightful King of Far Far Away and I promise you this Mother I will restore dignity to,97,my
140,1762214.0,1763381.0,192.441,193.0026837060701,I am the rightful King of Far Far Away and I promise you this Mother I will restore dignity to my,104,throne
141,1773789.0,1774146.0,198.08626198083067,198.261821086262,I am the rightful King of Far Far Away and I promise you this Mother I will restore dignity to my throne,108,and
142,1774173.0,1774717.0,198.2750159744409,198.54,I am the rightful King of Far Far Away and I promise you this Mother I will restore dignity to my throne and,113,this
143,1774719.0,1775708.0,198.541,199.0246006389777,I am the rightful King of Far Far Away and I promise you this Mother I will restore dignity to my throne and this,118,time
144,1776997.0,1777518.0,199.6549520766773,199.9178913738018,I am the rightful King of Far Far Away and I promise you this Mother I will restore dignity to my throne and this time,121,no
145,1777518.0,1778217.0,199.9178913738018,200.24999999999991,I am the rightful King of Far Far Away and I promise you this Mother I will restore dignity to my throne and this time no,125,one
146,1779202.0,1779561.0,200.7316293929713,200.91565495207675,I am the rightful King of Far Far Away and I promise you this Mother I will restore dignity to my throne and this time no one,130,will
147,1779591.0,1780555.0,200.93,201.4,I am the rightful King of Far Far Away and I promise you this Mother I will restore dignity to my throne and this time no one will,136,stand
148,1780564.0,1780943.0,201.4041948881789,201.58319488817887,I am the rightful King of Far Far Away and I promise you this Mother I will restore dignity to my throne and this time no one will stand,139,in
149,1780939.0,1781392.0,201.581,201.81,I am the rightful King of Far Far Away and I promise you this Mother I will restore dignity to my throne and this time no one will stand in,142,my
150,1781394.0,1782167.0,201.811,202.18057507987209,I am the rightful King of Far Far Away and I promise you this Mother I will restore dignity to my throne and this time no one will stand in my,146,way
151,1819745.0,1820515.0,220.5303514376997,220.9060702875398,,4,Good
152,1820515.0,1821471.0,220.9060702875398,221.3646964856228,Good,12,morning
153,1825103.0,1825537.0,223.14747603833868,223.35,Good mornin,15,Good
154,1825539.0,1826497.0,223.351,223.82,Good morning.,21,morning
155,1827723.0,1828472.0,224.426230031949,224.7840255591056,,2,Oh
156,1831657.0,1832408.0,226.35782747603835,226.70782747603835,,7,Morning
157,1832408.0,1833071.0,226.70782747603835,227.03977635782744,Morning,14,breath
158,1834668.0,1834918.0,227.8112460063898,227.9412460063898,,1,I
159,1835117.0,1835917.0,228.03809265175715,228.43,I,6,know
160,1837252.0,1837743.0,229.08319488817887,229.3130670926517,,2,Isn't
162,1837758.0,1838143.0,229.32025559105443,229.5,Isn't,8,it
163,1838145.0,1839489.0,229.501,230.1582108626197,Isn't it,18,wonderful
164,1841740.0,1842339.0,231.2673482428116,231.55,,4,Good
165,1842341.0,1843450.0,231.551,232.11,Good,12,morning
166,1843930.0,1844528.0,232.3369329073483,232.62,Good morning,17,good
167,1844530.0,1845496.0,232.621,233.11,Good morning good,25,morning
168,1845906.0,1846563.0,233.3018849840257,233.63137380191705,,2,Oh
169,1846779.0,1847278.0,233.72843450479232,233.9710862619808,Oh,6,hey
170,1847278.0,1847693.0,233.9710862619808,234.1817891373801,Oh hey,10,the
171,1847807.0,1848690.0,234.23,234.67,Oh hey the,14,sun
172,1848692.0,1848853.0,234.671,234.74111821086257,Oh hey the sun,17,is
173,1848861.0,1849875.0,234.7449520766774,235.24,Oh hey the sun is,25,shining
174,1849877.0,1850944.0,235.241,235.7626837060704,Oh hey the sun is shining,33,through
175,1851838.0,1852308.0,236.1995846645368,236.4295846645368,,4,Good
176,1852327.0,1853293.0,236.43884984025567,236.91,Good,12,morning
177,1853727.0,1854215.0,237.13,237.36,Good morning,17,good
178,1854217.0,1855321.0,237.361,237.9012460063898,Good morning good,25,morning
179,1855868.0,1856260.0,238.16,238.36,Good morning good morning,28,to
180,1856342.0,1857048.0,238.4,238.73629392971253,Good morning good morning to,32,you
181,1857224.0,1857692.0,238.8306709265176,239.0509584664537,Good morning good morning to you,36,and
182,1857692.0,1858290.0,239.0509584664537,239.3511182108626,Good morning good morning to you and,40,you
183,1858705.0,1859578.0,239.54632587859427,239.98067092651743,Good morning good morning to you and you,44,and
184,1859578.0,1861047.0,239.98067092651743,240.6897763578271,Good morning good morning to you and you and,48,you
185,1868233.0,1868816.0,244.2005527156549,244.4938977635782,,2,Oh
186,1869672.0,1869951.0,244.911373801917,245.04,Oh,7,they
187,1869960.0,1870319.0,245.0441948881789,245.2192971246007,Oh they,12,grow
188,1870367.0,1870630.0,245.24266134185308,245.3812460063898,Oh they grow,15,up
189,1870652.0,1871129.0,245.3918306709265,245.6156869009585,Oh they grow up,18,so
190,1871145.0,1872569.0,245.6230766773164,246.32693290734832,Oh they grow up so,23,fast
191,1873858.0,1874393.0,246.94,247.21,,3,Not
192,1874389.0,1875002.0,247.2078051118211,247.51527156549523,Not,8,fast
193,1875036.0,1876138.0,247.5322460063898,248.07,Not fast,15,enough
194,1879734.0,1880391.0,249.81,250.14,,4,Okay
195,1881681.0,1881868.0,250.77,250.87,,3,You
196,1881870.0,1882220.0,250.871,251.0244408945688,You,8,have
197,1882242.0,1882377.0,251.03502555910543,251.11,You have,10,a
198,1882379.0,1883096.0,251.111,251.47,You have a,15,very
199,1883099.0,1883688.0,251.471,251.75,You have a very,20,full
200,1883690.0,1884175.0,251.751,251.98,You have a very full,24,day
201,1884177.0,1884741.0,251.981,252.2644408945687,You have a very full day,32,filling
202,1884795.0,1885116.0,252.291,252.44,You have a very full day filling,35,in
203,1885136.0,1885401.0,252.45,252.58,You have a very full day filling in,39,for
204,1885403.0,1885612.0,252.581,252.69,You have a very full day filling in for,43,the
205,1885612.0,1886121.0,252.69,252.9475079872204,You have a very full day filling in for the,48,King
206,1886138.0,1886514.0,252.95581469648576,253.13,You have a very full day filling in for the King,52,and
207,1886523.0,1887294.0,253.1341948881789,253.5031948881789,You have a very full day filling in for the King and,58,Queen
208,1887720.0,1888064.0,253.72,253.88,,5,There
209,1888066.0,1888133.0,253.881,253.93,There,9,are
210,1888135.0,1888866.0,253.931,254.28,There are,17,several
211,1889109.0,1889894.0,254.39,254.78166134185307,There are several,27,functions
212,1889972.0,1890276.0,254.821,254.96,There are several functions,32,that
213,1890278.0,1891278.0,254.961,255.45,There are several functions that,40,require
214,1891280.0,1891621.0,255.451,255.62527156549524,There are several functions that require,45,your
215,1891649.0,1893166.0,255.6390511182109,256.38,There are several functions that require your,56,attendance
216,1893168.0,1893839.0,256.381,256.71,There are several functions that require your attendance,60,sir
217,1894150.0,1895289.0,256.8615335463261,257.41,,5,Great
218,1895744.0,1896623.0,257.64,258.06,Great,9,let's
220,1896625.0,1897212.0,258.061,258.34,Great let's,15,get
221,1897214.0,1898892.0,258.341,259.1766773162944,Great let's get,23,started
222,1900386.0,1901188.0,259.9,260.3,,4,Come
223,1901190.0,1901858.0,260.301,260.61,Come,7,on
224,1901860.0,1903488.0,260.611,261.4153674121412,Come on,17,lazybones
225,1903847.0,1904414.0,261.59,261.87568690095827,Come on lazybones,22,time
226,1904460.0,1904581.0,261.88946645367383,261.94846645367386,Come on lazybones time,25,to
227,1904668.0,1904887.0,261.991,262.1080511182106,Come on lazybones time to,29,get
228,1904954.0,1905652.0,262.141,262.4721086261981,Come on lazybones time to get,36,moving
229,1908985.0,1909192.0,264.1,264.21,,3,You
230,1909194.0,1909377.0,264.211,264.3,You,8,know
231,1909379.0,1909681.0,264.301,264.44,You know,12,you
232,1909683.0,1910215.0,264.441,264.71,You know you,19,really
233,1910215.0,1910370.0,264.71,264.7853993610221,You know you really,24,need
234,1910389.0,1910545.0,264.79498402555885,264.8534504792329,You know you really need,27,to
235,1910545.0,1910668.0,264.8534504792329,264.9235782747598,You know you really need to,31,get
236,1910668.0,1911245.0,264.9235782747598,265.1957827476031,You know you really need to get,40,yourself
237,1911254.0,1911438.0,265.2,265.29,You know you really need to get yourself,42,a
238,1911440.0,1911769.0,265.291,265.46,You know you really need to get yourself a,47,pair
239,1911771.0,1911851.0,265.461,265.5,You know you really need to get yourself a pair,50,of
240,1911851.0,1912731.0,265.5,265.9298722044732,You know you really need to get yourself a pair of,58,jammies
241,1960431.0,1960699.0,289.2161341853036,289.35559105431344,,1,I
242,1960699.0,1961429.0,289.35559105431344,289.7035143769972,I,8,knight
243,1961614.0,1962179.0,289.8019169329074,290.07859424920144,I knight,13,thee
244,2008446.0,2008938.0,312.66319488817896,312.91319488817896,,5,Since
245,2008933.0,2009175.0,312.911,313.02,Since,9,you're
247,2009177.0,2009719.0,313.021,313.27805111821067,Since you're,20,filling
248,2009721.0,2009985.0,313.2790511182106,313.4080511182106,Since you're filling,23,in
249,2010053.0,2010260.0,313.441,313.55,Since you're filling in,27,for
250,2010260.0,2010584.0,313.55,313.7,Since you're filling in for,31,one
251,2010605.0,2010809.0,313.71012779552666,313.81,Since you're filling in for one,35,you
252,2010811.0,2011162.0,313.811,313.9908306709264,Since you're filling in for one you,41,might
253,2011203.0,2011385.0,314.011,314.1,Since you're filling in for one you might,44,as
254,2011387.0,2011689.0,314.101,314.24,Since you're filling in for one you might as,49,well
255,2011725.0,2011983.0,314.2577635782744,314.4008306709264,Since you're filling in for one you might as well,54,look
256,2011983.0,2012318.0,314.4008306709264,314.5561022364212,Since you're filling in for one you might as well look,59,like
257,2012318.0,2012421.0,314.5561022364212,314.60610223642124,Since you're filling in for one you might as well look like,61,a
258,2012421.0,2012990.0,314.60610223642124,314.87638977635766,Since you're filling in for one you might as well look like a,66,real
259,2013032.0,2013534.0,314.8965495207668,315.1496166134187,Since you're filling in for one you might as well look like a real,71,king
260,2014732.0,2015062.0,315.7431629392969,315.9041533546323,,3,Can
261,2015117.0,2015875.0,315.9307124600636,316.2848881789135,Can,12,somebody
262,2015903.0,2016270.0,316.2986677316293,316.4778274760386,Can somebody,17,come
263,2016279.0,2016444.0,316.4909584664535,316.5716613418528,Can somebody come,20,in
264,2016459.0,2016925.0,316.5790511182106,316.7980511182106,Can somebody come in,25,here
265,2016933.0,2017053.0,316.8022460063896,316.86,Can somebody come in here,29,and
266,2017081.0,2017436.0,316.87377955271563,317.056134185304,Can somebody come in here and,34,work
267,2017464.0,2017761.0,317.0699137380195,317.2071246006396,Can somebody come in here and work,37,on
268,2017788.0,2018419.0,317.22,317.52,Can somebody come in here and work on,43,Shrek
269,2018421.0,2019231.0,317.521,317.9243450479238,Can somebody come in here and work on Shrek,50,please
270,2025775.0,2025979.0,321.13,321.23,,1,I
271,2025981.0,2026302.0,321.231,321.38,I,6,will
272,2026304.0,2026659.0,321.381,321.56,I will,10,see
273,2026661.0,2026796.0,321.561,321.63,I will see,15,what
274,2026798.0,2026978.0,321.631,321.71667731629395,I will see what,17,I
275,2027103.0,2027460.0,321.77747603833825,321.9448562300317,I will see what I,21,can
276,2027475.0,2027763.0,321.95224600638954,322.10124600638954,I will see what I can,24,do
277,2046160.0,2047256.0,331.07987220447285,331.6068690095852,,3,Oww
278,2069881.0,2071723.0,342.66,343.55,,4,Whoa
279,2072012.0,2073081.0,343.7,344.24,,4,Yeah
280,2073341.0,2074771.0,344.35,345.0558146964853,Yeah,8,wow
281,2076006.0,2076877.0,345.652076677316,346.0690415335466,,2,Uh
282,2078195.0,2078521.0,346.72,346.88,,2,Is
283,2078524.0,2078892.0,346.881,347.07,Is,7,this
284,2078894.0,2080093.0,347.071,347.64,Is this,14,really
285,2080095.0,2081688.0,347.641,348.41929712460023,Is this really,24,necessary
286,2082552.0,2082774.0,348.84984025559106,348.9498402555911,,2,Oh
287,2083060.0,2083454.0,349.09,349.2905431309902,Oh,5,ho
288,2083797.0,2084441.0,349.45,349.7729073482425,Oh ho,11,quite
289,2084581.0,2086090.0,349.841,350.57,Oh ho quite,21,necessary
290,2086092.0,2086793.0,350.571,350.9141533546323,Oh ho quite necessary,27,Fiona
291,2087873.0,2088428.0,351.44,351.72,,1,I'm
293,2088430.0,2089717.0,351.721,352.35,I'm,9,shrek
294,2089719.0,2090164.0,352.351,352.56,I'm shrek,13,you
295,2090166.0,2091058.0,352.561,353.0144408945685,I'm shrek you,18,twit
296,2091701.0,2092849.0,353.32,353.88,,8,Whatever
297,2093099.0,2094214.0,354.01,354.53846645367383,,4,Okay
298,2094301.0,2095497.0,354.581,355.16568690095846,Okay,12,peoples
299,2095755.0,2096293.0,355.3,355.55485623003176,Okay peoples,17,this
300,2096467.0,2097218.0,355.63897763578274,356.0071884984026,Okay peoples this,20,isn't
302,2097232.0,2097451.0,356.0137380191692,356.12,Okay peoples this isn't,25,a
303,2097453.0,2098494.0,356.121,356.63,Okay peoples this isn't a,35,rehearsal
304,2098496.0,2098923.0,356.631,356.83,,3,Let's
306,2098925.0,2099313.0,356.831,357.03,Let's,9,see
307,2099395.0,2099899.0,357.07,357.30766773162924,Let's see,14,some
308,2100221.0,2101093.0,357.48137380191685,357.90808306709306,Let's see some,21,hustle
309,2101210.0,2101912.0,357.9655910543129,358.2915654952075,,6,Smiles
310,2101980.0,2102881.0,358.3245686900957,358.78,Smiles,15,everyone
311,2102890.0,2104046.0,358.78419488817894,359.3331948881789,Smiles everyone,22,Smiles
312,2105929.0,2106248.0,360.27,360.41,,1,I
313,2106250.0,2106622.0,360.411,360.6,I,4,don't
315,2106666.0,2106925.0,360.62207667731616,360.74,I don't,12,know
316,2106927.0,2107136.0,360.741,360.86,I don't know,16,how
317,2107156.0,2107646.0,360.87,361.1,I don't know how,21,much
318,2107648.0,2108174.0,361.101,361.35,I don't know how much,28,longer
319,2108283.0,2108485.0,361.4029073482427,361.51,I don't know how much longer,30,I
320,2108487.0,2108932.0,361.511,361.72,I don't know how much longer I,34,can
321,2108934.0,2109442.0,361.721,361.97,I don't know how much longer I can,39,keep
322,2109444.0,2109935.0,361.971,362.21,I don't know how much longer I can keep,44,this
323,2109937.0,2110406.0,362.211,362.44,I don't know how much longer I can keep this,47,up
324,2110408.0,2111599.0,362.441,363.032076677316,I don't know how much longer I can keep this up,53,Fiona
325,2112060.0,2112377.0,363.25680511182105,363.42,,1,I'm
327,2112379.0,2113030.0,363.421,363.73,I'm,9,sorry
328,2113032.0,2113702.0,363.731,364.06,I'm sorry,15,Shrek
329,2113862.0,2114154.0,364.1373801916933,364.2873801916933,I'm sorry Shrek,19,can
330,2114154.0,2114494.0,364.2873801916933,364.4373801916933,I'm sorry Shrek can,23,you
331,2114546.0,2115544.0,364.4626198083066,364.95,I'm sorry Shrek can you,30,please
332,2115546.0,2115956.0,364.951,365.16,I'm sorry Shrek can you please,35,just
333,2115958.0,2116402.0,365.161,365.37,I'm sorry Shrek can you please just,39,try
334,2116404.0,2116629.0,365.371,365.48,I'm sorry Shrek can you please just try,42,to
335,2116631.0,2117020.0,365.481,365.68,I'm sorry Shrek can you please just try to,47,grin
336,2117022.0,2117264.0,365.681,365.79,I'm sorry Shrek can you please just try to grin,51,and
337,2117266.0,2117694.0,365.791,366.01,I'm sorry Shrek can you please just try to grin and,56,bear
338,2117696.0,2117961.0,366.011,366.14,I'm sorry Shrek can you please just try to grin and bear,59,it
339,2118986.0,2119392.0,366.64,366.83,,2,It's
341,2119394.0,2120007.0,366.831,367.14,It's,9,just
342,2120009.0,2120497.0,367.141,367.37,It's just,15,until
343,2120492.0,2121040.0,367.367805111821,367.62680511182106,It's just until,19,Dad
344,2121049.0,2121540.0,367.631,367.88,It's just until Dad,24,gets
345,2121542.0,2122368.0,367.881,368.3,It's just until Dad gets,31,better
346,2123277.0,2124001.0,368.72,369.09,,2,Uh
347,2127784.0,2129117.0,370.93,371.59,Uh,8,Shrek
348,2129735.0,2130717.0,371.8831948881789,372.36319488817895,,4,Yeah
349,2133132.0,2133452.0,373.5424920127792,373.69,,3,You
350,2133454.0,2133886.0,373.691,373.91,You,8,look
351,2133888.0,2135057.0,373.911,374.4826517571887,You look,17,handsome
352,2136742.0,2137881.0,375.3063578274764,375.8626837060706,,2,Aw
353,2138287.0,2138777.0,376.06,376.3,Aw,7,come
354,2138779.0,2139246.0,376.301,376.5293290734825,Aw come,12,here
355,2139306.0,2139985.0,376.5584664536739,376.89,Aw come here,16,you
356,2170088.0,2170562.0,391.58,391.82,,2,my
357,2170905.0,2171483.0,391.98,392.27,my,7,butt
358,2171485.0,2171830.0,392.271,392.43,my butt,10,is
359,2171832.0,2172318.0,392.431,392.66805111821066,my butt is,18,itching
360,2172339.0,2172627.0,392.67863578274745,392.8284664536738,my butt is itching,21,up
